                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3313,                 3.3846,                  1.285,                0.43385,                0.36753,                0.26233,                0.15916,                 1.1455,                 2.2374,                 1.2396,              0.0033293,              0.0033293,              0.0033293
                      2,                 1.2732,                 2.2726,                 1.2473,                0.41227,                 0.3722,                0.29498,                0.17523,                  1.182,                 2.2234,                 1.3073,              0.0066077,              0.0066077,              0.0066077
                      3,                 1.2664,                 2.1022,                 1.2491,                0.68405,                0.35411,                0.37299,                 0.2378,                 1.1082,                 1.7076,                 1.2364,               0.009831,               0.009831,               0.009831
                      4,                 1.2628,                 1.9948,                  1.246,                0.46297,                0.49466,                0.43155,                0.28473,                  1.081,                 1.5014,                 1.2091,              0.0097525,              0.0097525,              0.0097525
                      5,                  1.243,                 1.8517,                 1.2367,                0.57025,                0.42861,                 0.4325,                0.28541,                 1.0507,                 1.4291,                 1.2023,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.2168,                 1.7334,                  1.226,                0.45054,                0.49763,                0.47239,                 0.3162,                 1.0511,                 1.2174,                 1.1929,                0.00967,                0.00967,                0.00967
                      7,                 1.2071,                 1.6356,                 1.2199,                0.52384,                0.52582,                0.51706,                0.34982,                 1.0281,                  1.158,                 1.1731,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.1912,                 1.5756,                  1.217,                0.50172,                0.51914,                0.50265,                0.33485,                 1.0476,                 1.0976,                 1.1823,               0.009505,               0.009505,               0.009505
                      9,                 1.1773,                 1.5368,                 1.2063,                0.55588,                0.52391,                0.53477,                0.36345,                 1.0159,                 1.0543,                 1.1665,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.1711,                 1.4908,                 1.2055,                0.51332,                0.53309,                0.52951,                0.36315,                 1.0098,                 1.1143,                 1.1636,                0.00934,                0.00934,                0.00934
                     11,                 1.1592,                 1.4462,                 1.1952,                 0.5644,                0.57473,                0.56512,                0.38672,                 1.0018,                0.98693,                 1.1551,              0.0092575,              0.0092575,              0.0092575
