文件路径,识别结果,位置,置信度,用时
Camera: 0,中性粒细胞,"[306, 341, 447, 553]",0.8919162750244141,0.023999929428100586
Camera: 0,红细胞,"[514, 322, 618, 382]",0.8927774429321289,0.023999929428100586
Camera: 0,中性粒细胞,"[222, 110, 333, 321]",0.9024707078933716,0.023999929428100586
Camera: 0,红细胞,"[525, 357, 637, 490]",0.9126220345497131,0.023999929428100586
Camera: 0,嗜碱细胞,"[447, 128, 629, 322]",0.9187228083610535,0.023999929428100586
Camera: 0,红细胞,"[446, 388, 557, 541]",0.9342109560966492,0.023999929428100586
Camera: 0,红细胞,"[568, 299, 638, 321]",0.2648795545101166,0.019998550415039062
Camera: 0,嗜碱细胞,"[447, 322, 524, 406]",0.3482418954372406,0.019998550415039062
Camera: 0,红细胞,"[447, 0, 563, 96]",0.5529155135154724,0.019998550415039062
Camera: 0,红细胞,"[603, 147, 639, 312]",0.563784122467041,0.019998550415039062
Camera: 0,红细胞,"[446, 254, 498, 321]",0.6564627885818481,0.019998550415039062
Camera: 0,红细胞,"[446, 0, 522, 51]",0.6576391458511353,0.019998550415039062
Camera: 0,红细胞,"[576, 498, 638, 553]",0.8009858727455139,0.019998550415039062
Camera: 0,红细胞,"[446, 52, 500, 174]",0.8349933624267578,0.019998550415039062
Camera: 0,红细胞,"[560, 5, 638, 153]",0.8697555661201477,0.019998550415039062
Camera: 0,中性粒细胞,"[306, 341, 447, 553]",0.8920111060142517,0.019998550415039062
Camera: 0,红细胞,"[514, 322, 618, 382]",0.8928096294403076,0.019998550415039062
Camera: 0,中性粒细胞,"[222, 110, 333, 321]",0.9024856686592102,0.019998550415039062
Camera: 0,红细胞,"[525, 357, 637, 490]",0.9126030802726746,0.019998550415039062
Camera: 0,嗜碱细胞,"[447, 128, 629, 322]",0.91872239112854,0.019998550415039062
Camera: 0,红细胞,"[446, 388, 557, 541]",0.9342023134231567,0.019998550415039062
Camera: 0,红细胞,"[568, 299, 638, 321]",0.2658385634422302,0.01899862289428711
Camera: 0,嗜碱细胞,"[447, 322, 524, 406]",0.34788596630096436,0.01899862289428711
Camera: 0,红细胞,"[447, 0, 563, 96]",0.5460179448127747,0.01899862289428711
Camera: 0,红细胞,"[603, 147, 639, 312]",0.5634489059448242,0.01899862289428711
Camera: 0,红细胞,"[446, 254, 498, 321]",0.6570150852203369,0.01899862289428711
Camera: 0,红细胞,"[446, 0, 522, 51]",0.6576418876647949,0.01899862289428711
Camera: 0,红细胞,"[576, 498, 638, 553]",0.8010820746421814,0.01899862289428711
Camera: 0,红细胞,"[446, 52, 500, 174]",0.8348029255867004,0.01899862289428711
Camera: 0,红细胞,"[560, 5, 638, 153]",0.8700233101844788,0.01899862289428711
